,Nome,CGC,Endereco
42,"PLAT DIG CARIOCA, RJ",3765-6,"avenida oscar niemeyer num 2000 - santo cristo 20220297 - rio de janeiro, rj ag. numero: 3765-6"
43,"PLAT DIG RIO JANEIRO CAPITAL, RJ",3766-4,"avenida oscar niemeyer num 2000 - santo cristo 20220297 - rio de janeiro, rj ag. numero: 3766-4"
44,"PLAT EMPRESAS GRANDE LEOPOLDINA, RJ",5433-0,"avenida meriti num 2207 - vila da penha 212117 - rio de janeiro, rj ag. numero: 5433-0"
45,"PLATAFORMA EMPRESAS BARRA TIJUCA,RJ",6392-4,"avenida armando lombardi num 400 - barra da tijuca 226400 - rio de janeiro, rj ag. numero: 6392-4"
46,"PLATAFORMA EMPRESAS CARIOCA, RJ",6393-2,"rua da carioca num 27,29,31,33 - centro 200508 - rio de janeiro, rj ag. numero: 6393-2"
47,"PLATAFORMA EMPRESAS GRAN TIJUCA, RJ",6384-3,"rua conde de bonfim num 302 - tijuca 2052054 - rio de janeiro, rj ag. numero: 6384-3"
48,"PLATAFORMA EMPRESAS GRANDE MEIER,RJ",6400-9,"avenida dom helder camara num 5795 - cachambi 207711 - rio de janeiro, rj ag. numero: 6400-9"
49,"PLATAFORMA EMPRESAS LEBLON, RJ",6357-6,"rua joao lira num 84 - leblon 22430210 - rio de janeiro, rj ag. numero: 6357-6"
50,"PLATAFORMA EMPRESAS MADUREIRA, RJ",5499-2,"rua carvalho de souza num 283 - madureira 21350180 - rio de janeiro, rj ag. numero: 5499-2"
51,"PLATAFORMA EMPRESAS RIO JANEIRO, RJ",6343-6,"rua das marrecas num 20 - centro 20031120 - rio de janeiro, rj ag. numero: 6343-6"
52,"PLATAFORMA EMPRESAS RJ NORTE, RJ",6355-0,"rua cardoso de morais num 251 - bonsucesso 210320 - rio de janeiro, rj ag. numero: 6355-0"
53,"PLATAFORMA EMPRESAS Z OESTE RIO, RJ",7095-5,"avenida conego de vasconcelos num 367 - bangu 2181011 - rio de janeiro, rj ag. numero: 7095-5"
54,"PLATAFORMA EMPRESAS ZONA SUL, RJ",6390-8,"rua das laranjeiras num 43 - laranjeiras 222400 - rio de janeiro, rj ag. numero: 6390-8"
55,PRIVATE RIO DE JANEIRO,4867-4,"avenida oscar niemeyer num 2000 - santo cristo 20220297 - rio de janeiro, rj ag. numero: 4867-4"
56,"RIO NORTE, RJ",1411-7,"rua conde de bonfim num 120 - tijuca 2052053 - rio de janeiro, rj ag. numero: 1411-7"
57,"ROCINHA, RJ",4193-9,"avenida niemeyer num 776 - sao conrado 22450221 - rio de janeiro, rj ag. numero: 4193-9"
58,"RUA DA ALFANDEGA, RJ",2501-1,"rua da alfandega num 115 - centro 200703 - rio de janeiro, rj ag. numero: 2501-1"
59,"RUA DA PASSAGEM, RJ",3106-2,"rua da passagem num 123 - botafogo 2229031 - rio de janeiro, rj ag. numero: 3106-2"
60,"RUA DO PRADO, RJ",4944-1,"rua felipe cardoso num 581 - santa cruz 235106 - rio de janeiro, rj ag. numero: 4944-1"
61,"SESC SENAC NACIONAL, RJ",2699-9,"avenida ayrton senna num 5555 - barra da tijuca 227754 - rio de janeiro, rj ag. numero: 2699-9"
62,"TRF RIO DE JANEIRO, RJ",4021-5,"rua acre num 80 - centro 200810 - rio de janeiro, rj ag. numero: 4021-5"
63,"TRT 1A REGIAO RIO DE JANEIRO, RJ",4044-4,"rua araujo porto alegre num 36 - centro 20030902 - rio de janeiro, rj ag. numero: 4044-4"
64,"VISTA ALEGRE RIO, RJ",4472-5,"avenida meriti num 2207 - vila da penha 212117 - rio de janeiro, rj ag. numero: 4472-5"
65,"ROCHA, RJ",1853-8,"rua coronel moreira cesar num 35 - centro 24440400 - sao goncalo, rj ag. numero: 1853-8"
66,"SHOPPING GRANDE RIO, RJ",2973-4,"rodovia presidente dutra num 4200 - jardim jose bonifacio 25586140 - sao joao de meriti, rj ag. numero: 2973-4"
67,"CSN PATIO SOM, RJ",4971-9,"rod lucio meira km 5 - vila santa cecilia 27269900 - volta redonda, rj ag. numero: 4971-9"
68,"CSN ZONA LESTE, RJ",4997-2,"rod lucio meira km 5 km 393 - vila santa cecilia 27269900 - volta redonda, rj ag. numero: 4997-2"
69,"DIGITAL SUL FLUMINENSE, RJ",3767-2,"rua vinte e cinco num 184 - vila santa cecilia 27260150 - volta redonda, rj ag. numero: 3767-2"
