,Nome,CGC,Endereco
44,"JUSTICA DO TRABALHO CATANDUVA, SP",7666-0,"rua recife num 585 - centro 15800240 - catanduva, sp ag. numero: 7666-0"
45,"DUARTINA, SP",4320-6,"avenida sao paulo num 252 - centro 174700 - duartina, sp ag. numero: 4320-6"
46,"JUSTICA FEDERAL FRANCA, SP",3995-0,"avenida presidente vargas num 543 - cidade nova 14401110 - franca, sp ag. numero: 3995-0"
47,"PLATAFORMA EMPRESAS FRANCA, SP",7437-3,"rua monsenhor rosa num 1639 - centro 14400670 - franca, sp ag. numero: 7437-3"
48,"VILA APARECIDA, SP",4237-4,"avenida brasil num 1920 - vila aparecida 14401240 - franca, sp ag. numero: 4237-4"
49,"JUSTICA FEDERAL GUARATINGUETA, SP",4107-6,"rua joao pessoa num 58 - pedregulho 1251510 - guaratingueta, sp ag. numero: 4107-6"
50,"PRAIA DA ENSEADA, SP",4574-8,"avenida leomil num 631 - centro 11410161 - guaruja, sp ag. numero: 4574-8"
51,"DIGITAL GUARULHOS, SP",2671-9,"avenida emilio ribas num 1491 - jardim tranquilidade 70510 - guarulhos, sp ag. numero: 2671-9"
52,"JUSTICA FEDERAL GUARULHOS, SP",4042-8,"avenida salgado filho num 2050 - cidade maia 71150 - guarulhos, sp ag. numero: 4042-8"
53,"NOVA SETE DE SETEMBRO, SP",0223-2,"rua sete de setembro num 134 - centro 701120 - guarulhos, sp ag. numero: 0223-2"
54,"PICANCO, SP",4529-2,"rua cachoeira num 461 - jardim rosa de franca 70800 - guarulhos, sp ag. numero: 4529-2"
55,"PLATAFORMA EMPRESAS GUARULHOS, SP",7039-4,"avenida salgado filho num 100 - centro 71150 - guarulhos, sp ag. numero: 7039-4"
56,"PONTE GRANDE, SP",7553-1,"avenida guarulhos num 3820 - ponte grande 70301 - guarulhos, sp ag. numero: 7553-1"
57,"LITORAL PAULISTA SUL, SP",4795-3,"rua expedicionario poitena num 58 - centro 117400 - itanhaem, sp ag. numero: 4795-3"
58,"AGRO ITAPEVA, SP",7549-3,"rua pires fleury num 149 - centro 18400430 - itapeva, sp ag. numero: 7549-3"
59,"ITAQUA SHOPPING, SP",0869-9,"estrada municip do mandi num 1205 - jardim adriane 85960 - itaquaquecetuba, sp ag. numero: 0869-9"
60,"PRINCESA DA COLINA, SP",2037-0,"praca da bandeira num 51 - centro 13250329 - itatiba, sp ag. numero: 2037-0"
61,"JUSTICA FEDERAL JAU, SP",2742-1,"rua edgard ferraz num 449 - centro 17201440 - jau, sp ag. numero: 2742-1"
62,"JOANOPOLIS, SP",3400-2,"largo sao joao num 166 - centro 129800 - joanopolis, sp ag. numero: 3400-2"
63,AG EMPRESARIAL SUDESTE PAULISTA,3104-6,"avenida nove de julho num 3775 - anhangabau 1320856 - jundiai, sp ag. numero: 3104-6"
64,"DIGITAL JUNDIAI, SP",7165-0,"rua das pitangueiras num 535 - jardim pitangueiras ii 13206716 - jundiai, sp ag. numero: 7165-0"
65,"PLATAFORMA EMPRESAS JUNDIAI, SP",7453-5,"rua rangel pestana num 278/286 - centro 132010 - jundiai, sp ag. numero: 7453-5"
66,"SERRA DO JAPI, SP",2968-8,"avenida nove de julho num 3775 - anhangabau 1320856 - jundiai, sp ag. numero: 2968-8"
67,"CIDADE DO ALGODAO, SP",4821-6,"rua general osorio num 357 - centro 1361050 - leme, sp ag. numero: 4821-6"
68,"JT LIMEIRA, SP",7931-6,"rua henrique jacobs num 2040 - parque campos eliseos 13485321 - limeira, sp ag. numero: 7931-6"
69,"AV TIRADENTES, SP",4113-0,"avenida rio branco num 651 - alto cafezal 175020 - marilia, sp ag. numero: 4113-0"
70,"JUSTICA DO TRABALHO MARILIA, SP",3297-2,"avenida tiradentes num 580 - fragata 17501330 - marilia, sp ag. numero: 3297-2"
71,"JUSTICA FEDERAL MARILIA, SP",3972-1,"rua amazonas num 527 - centro 17509120 - marilia, sp ag. numero: 3972-1"
72,"JUSTICA DO TRABALHO MATAO, SP",7665-1,"rua jundiai num 1270 - nova matao 15990510 - matao, sp ag. numero: 7665-1"
73,"PREFEITURA MUNICIPAL DE MAUA, SP",2113-0,"avenida governador mario covas junior num 1 - centro 939040 - maua, sp ag. numero: 2113-0"
74,"JEF MOGI DAS CRUZES, SP",3096-1,"avenida fernando costa num 820 - centro 87350 - mogi das cruzes, sp ag. numero: 3096-1"
75,"PLATAFORMA EMPRESAS ALTO TIETE, SP",5501-8,"rua dom antonio candido de alvarenga num 257 - centro 878070 - mogi das cruzes, sp ag. numero: 5501-8"
76,"DIGITAL OSASCO, SP",2674-3,"avenida doutor martin luther king num 726 - umuarama 60303 - osasco, sp ag. numero: 2674-3"
77,"JUSTICA FEDERAL OSASCO, SP",3034-1,"rua avelino lopes num 281/291 - centro 609035 - osasco, sp ag. numero: 3034-1"
78,"MUTINGA, SP",3356-1,"avenida cruzeiro do sul num 1099 - rochdale 62266 - osasco, sp ag. numero: 3356-1"
79,"PLATAFORMA EMPRESAS OSASCO, SP",7507-8,"avenida dos autonomistas num 2423 - centro 609020 - osasco, sp ag. numero: 7507-8"
80,"TECNOLOGIA SAO PAULO, SP",2721-9,"avenida doutor martin luther king num 762 - jardim santo antoninho 60303 - osasco, sp ag. numero: 2721-9"
81,"VILA YARA, SP",2920-3,"avenida dos autonomistas num 197 - vila sao jose 60200 - osasco, sp ag. numero: 2920-3"
82,"EXPEDICIONARIOS, SP",2988-2,"rua do expedicionario num 655 - centro 1990041 - ourinhos, sp ag. numero: 2988-2"
83,"JUSTICA DO TRABALHO OURINHOS, SP",1408-7,"rua paulo sa num 565 - vila moraes 19900221 - ourinhos, sp ag. numero: 1408-7"
84,"JUSTICA FEDERAL OURINHOS, SP",2874-6,"avenida conselheiro rodrigues alves num 365 - vila sa 19907270 - ourinhos, sp ag. numero: 2874-6"
85,AG EMPRESARIAL PIRACICABA,4281-1,"avenida independencia num 3415 - alemaes 13416240 - piracicaba, sp ag. numero: 4281-1"
86,"DIGITAL PIRACICABANA, SP",2632-8,"avenida independencia num 3415 - vila independencia 13416240 - piracicaba, sp ag. numero: 2632-8"
87,"JUSTICA DO TRABALHO PIRACICABA, SP",1397-8,"rua sao jose num 667 - centro 13400330 - piracicaba, sp ag. numero: 1397-8"
88,"JUSTICA FEDERAL PIRACICABA, SP",3969-1,"avenida mario dedine num 234 - vila rezende 13405270 - piracicaba, sp ag. numero: 3969-1"
89,"NOIVA DA COLINA, SP",3428-2,"avenida independencia num 3415 - alemaes 13416240 - piracicaba, sp ag. numero: 3428-2"
90,"PLAT DIG PIRACICABA, SP",3870-9,"avenida independencia num 3415 - alemaes 13416240 - piracicaba, sp ag. numero: 3870-9"
91,"PLATAFORMA EMPRESAS PIRACICABA, SP",6425-4,"avenida independencia num 3415 - vila independencia 13416240 - piracicaba, sp ag. numero: 6425-4"
92,"RUA MORAES BARROS, SP",4889-5,"rua sao jose num 667 - centro 13400330 - piracicaba, sp ag. numero: 4889-5"
93,"PREF MUN PIRAPORA DO BOM JESUS, SP",3399-5,"praca poderes municipais num 57 - centro 65500 - pirapora do bom jesus, sp ag. numero: 3399-5"
94,"PLATAFORMA EMPRESAS PRAIA GRANDE,SP",6362-2,"avenida ayrton senna da silva num 1511 - sitio do campo 117260 - praia grande, sp ag. numero: 6362-2"
95,"AGRO PRESIDENTE PRUDENTE, SP",4605-1,"avenida coronel jose soares marcondes num 1199 - centro 1901081 - presidente prudente, sp ag. numero: 4605-1"
96,"DIGITAL ALTA PAULISTA, SP",3184-4,"avenida manoel goulart num 1120 - centro 19015240 - presidente prudente, sp ag. numero: 3184-4"
97,"JF PRESIDENTE PRUDENTE, SP",3967-5,"rua angelo rotta num 110 - jardim petropolis 19060420 - presidente prudente, sp ag. numero: 3967-5"
98,"JUST TRAB PRESIDENTE PRUDENTE, SP",2787-1,"avenida quatorze de setembro num 1080 - jardim paulistano 190140 - presidente prudente, sp ag. numero: 2787-1"
99,"OESTE PAULISTA, SP",4114-9,"avenida manoel goulart num 200 - vila nova 19010270 - presidente prudente, sp ag. numero: 4114-9"
100,"PREFEITURA MUNICIPAL RAFARD, SP",4950-6,"praca da independencia num 100 - centro 133700 - rafard, sp ag. numero: 4950-6"
101,"AG EMPRESARIAL ALTA MOGIANA, SP",4282-0,"avenida maurilio biagi num 800 - ribeirania 1409675 - ribeirao preto, sp ag. numero: 4282-0"
102,"AGRO RIBEIRAO PRETO, SP",4620-5,"rua alvares cabral num 930 - centro 1401080 - ribeirao preto, sp ag. numero: 4620-5"
103,"AV CASTELO BRANCO, SP",4488-1,"rua alice alem saadi num 855 - nova ribeirania 14096570 - ribeirao preto, sp ag. numero: 4488-1"
104,"AV MAURILIO BIAGI, SP",4710-4,"avenida portugal num 939 - jardim sao luiz 14020380 - ribeirao preto, sp ag. numero: 4710-4"
105,"BAIRRO VILA VIRGINIA, SP",4908-5,"rua doutor joao guiao num 790 - vila virginia 14030440 - ribeirao preto, sp ag. numero: 4908-5"
106,"DIGITAL RIBEIRAO PRETO SUL, SP",2657-3,"avenida nove de julho num 355 - centro 14010100 - ribeirao preto, sp ag. numero: 2657-3"
107,"JUST TRABALHO RIBEIRAO PRETO, SP",2681-6,"rua afonso taranto num 105 - nova ribeirania 14096740 - ribeirao preto, sp ag. numero: 2681-6"
108,"JUSTICA FEDERAL RIBEIRAO PRETO, SP",2014-1,"rua afonso taranto num 455 - nova ribeirania 14096740 - ribeirao preto, sp ag. numero: 2014-1"
109,"PLAT DIG RIBEIRAO PRETO, SP",3818-0,"avenida nove de julho num 355 - centro 14015170 - ribeirao preto, sp ag. numero: 3818-0"
110,"PLATAFORMA EMPRESAS ALTO FIUSA, SP",6385-1,"avenida professor joao fiusa num 2060 - jardim canada 14024260 - ribeirao preto, sp ag. numero: 6385-1"
111,"PLATAFORMA EMPRESAS RIB PRETO, SP",6403-3,"rua alvares cabral num 930 - centro 1401080 - ribeirao preto, sp ag. numero: 6403-3"
112,"RIO GRANDE DA SERRA, SP",3762-1,"avenida dom pedro i num 565 - centro 94500 - rio grande da serra, sp ag. numero: 3762-1"
113,"CENTRO HISTORICO, SP",4961-1,"largo sao bento num 30 - centro 650190 - santana de parnaiba, sp ag. numero: 4961-1"
114,"AMERICA DO SUL, SP",4986-7,"rua caucaso num 809 - parque novo oratorio 926010 - santo andre, sp ag. numero: 4986-7"
115,"DIGITAL GRANDE ABC, SP",2675-1,"rua carijos num 1665 - vila linda 91801 - santo andre, sp ag. numero: 2675-1"
116,"DIGITAL PAULISTANA, SP",2679-4,"avenida pereira barreto num 1286 - paraiso 9190210 - santo andre, sp ag. numero: 2679-4"
117,"JUSTICA FEDERAL SANTO ANDRE, SP",2791-0,"avenida pereira barreto num 1299 - paraiso 9190610 - santo andre, sp ag. numero: 2791-0"
