,Nome,CGC,Endereco
189,"JARDIM AEROPORTO, SP",1602-0,"avenida joao pedro cardoso num 375 - jardim aeroporto 43551 - sao paulo, sp ag. numero: 1602-0"
190,"JARDIM AVELINO, SP",4615-9,"avenida zelina num 694 - vila zelina 31430 - sao paulo, sp ag. numero: 4615-9"
191,"JARDIM GERMANIA, SP",2055-9,"estrada de itapecerica num 8629 - capao redondo 58583 - sao paulo, sp ag. numero: 2055-9"
192,"JEF SAO PAULO, SP",2766-9,"avenida paulista num 1345 - bela vista 1311200 - sao paulo, sp ag. numero: 2766-9"
193,"JUSTICA FEDERAL SAO PAULO, SP",0265-8,"avenida paulista num 1682 - bela vista 1310200 - sao paulo, sp ag. numero: 0265-8"
194,"LARGO DE PINHEIROS, SP",3328-6,"rua pais leme num 250 - pinheiros 542410 - sao paulo, sp ag. numero: 3328-6"
195,"LARGO SAO MATEUS, SP",2929-7,"avenida mateo bei num 1521/1525 - sao mateus 394911 - sao paulo, sp ag. numero: 2929-7"
196,"MOOCA PLAZA SHOPPING, SP",4851-8,"avenida capitao pacheco e chaves num 313 - vila prudente 31260 - sao paulo, sp ag. numero: 4851-8"
197,"NHAMBIQUARAS, SP",2189-0,"alameda dos maracatins num 634/636 - indianopolis 40891 - sao paulo, sp ag. numero: 2189-0"
198,"NOVA AUGUSTA, SP",3045-7,"rua augusta num 551 - consolacao 13050 - sao paulo, sp ag. numero: 3045-7"
199,"NOVA FIESTA, SP",4135-1,"avenida guarapiranga num 291 a - vila socorro 47620 - sao paulo, sp ag. numero: 4135-1"
200,"NOVA TIETE, SP",2880-0,"avenida maria candida num 177 - vila guilherme 207110 - sao paulo, sp ag. numero: 2880-0"
201,"PARQUE DO ESTADO, SP",4617-5,"avenida miguel stefano num 2029/2031 - saude 430112 - sao paulo, sp ag. numero: 4617-5"
202,"PATRIOTAS, SP",4616-7,"rua agostinho gomes num 1492 - ipiranga 42060 - sao paulo, sp ag. numero: 4616-7"
203,"PAULISTA SAO LUIS, SP",4853-4,"rua da consolacao num 2382 - consolacao 13021 - sao paulo, sp ag. numero: 4853-4"
204,"PLAT DIG ESTACAO DA LUZ, SP",2668-9,"largo da concordia num 211 - bras 301210 - sao paulo, sp ag. numero: 2668-9"
205,"PLAT DIG SAO PAULO CENTRO, SP",3682-0,"praca da se num 111 - se 10011 - sao paulo, sp ag. numero: 3682-0"
206,"PLAT DIG SAO PAULO LESTE, SP",3610-2,"avenida amador bueno da veiga num 1151 - penha de franca 36350 - sao paulo, sp ag. numero: 3610-2"
207,"PLAT DIG SAO PAULO NORTE, SP",3718-4,"rua voluntarios da patria num 1512 - santana 2010300 - sao paulo, sp ag. numero: 3718-4"
208,"PLAT DIG SAO PAULO SUL, SP",3769-9,"avenida santo amaro num 7237 - santo amaro 4701200 - sao paulo, sp ag. numero: 3769-9"
209,"PLAT DIG SOCIAL, SP",3880-6,"rua sao joaquim num 69 - liberdade 15080 - sao paulo, sp ag. numero: 3880-6"
210,"PLATAFORMA EMPRESA CAPAO REDONDO,SP",7445-4,"estrada de itapecerica num 3429 - capao redondo 58354 - sao paulo, sp ag. numero: 7445-4"
211,"PLATAFORMA EMPRESAS BRAS, SP",7731-3,"largo da concordia num 211 - bras 301210 - sao paulo, sp ag. numero: 7731-3"
212,"PLATAFORMA EMPRESAS BROOKLIN, SP",7470-5,"rua barao do triunfo num 491 - brooklin paulista 46021 - sao paulo, sp ag. numero: 7470-5"
213,"PLATAFORMA EMPRESAS CACHOEIRINHA,SP",7476-4,"rua doutor zuquim num 1844 - santana 203522 - sao paulo, sp ag. numero: 7476-4"
214,"PLATAFORMA EMPRESAS FARIA LIMA, SP",7479-9,"avenida pedroso de morais num 644 - pinheiros 54201 - sao paulo, sp ag. numero: 7479-9"
215,"PLATAFORMA EMPRESAS GRAN JULIETA,SP",7874-3,"avenida das nacoes unidas num 22351 - vila almeida 4795904 - sao paulo, sp ag. numero: 7874-3"
216,"PLATAFORMA EMPRESAS IPIRANGA, SP",7035-1,"rua silva bueno num 1884 - ipiranga 42081 - sao paulo, sp ag. numero: 7035-1"
217,"PLATAFORMA EMPRESAS ITAIM, SP",7036-0,"avenida brasil num 67 - jardim america 14310 - sao paulo, sp ag. numero: 7036-0"
218,"PLATAFORMA EMPRESAS JABAQUARA, SP",7350-4,"rua farjalla koraicho num 611 - vila parque jabaquara 4321130 - sao paulo, sp ag. numero: 7350-4"
219,"PLATAFORMA EMPRESAS MOOCA, SP",5913-7,"avenida paes de barros num 3063 - parque da mooca 3149100 - sao paulo, sp ag. numero: 5913-7"
220,"PLATAFORMA EMPRESAS PARAPUA, SP",7467-5,"rua guerino giovani leardini num 63/37 - vila barreto 293740 - sao paulo, sp ag. numero: 7467-5"
221,"PLATAFORMA EMPRESAS PAULISTA, SP",7683-0,"avenida paulista num 302 - bela vista 13100 - sao paulo, sp ag. numero: 7683-0"
222,"PLATAFORMA EMPRESAS REPUBLICA, SP",7429-2,"praca da republica num 309 - republica 10451 - sao paulo, sp ag. numero: 7429-2"
223,"PLATAFORMA EMPRESAS SANTANA, SP",6063-1,"rua voluntarios da patria num 1512 - santana 2010300 - sao paulo, sp ag. numero: 6063-1"
224,"PLATAFORMA EMPRESAS SE, SP",5036-9,"praca da se num 111 - se 10011 - sao paulo, sp ag. numero: 5036-9"
225,"PLATAFORMA EMPRESAS TATUAPE, SP",5231-0,"rua serra de braganca num 336 - vila gomes cardim 33180 - sao paulo, sp ag. numero: 5231-0"
226,"PLATAFORMA EMPRESAS VILA FORMOSA,SP",5305-8,"praca doutor sampaio vidal num 40 - vila formosa 335660 - sao paulo, sp ag. numero: 5305-8"
227,"PLATAFORMA EMPRESAS VILA MARIANA,SP",7050-5,"rua domingos de morais num 2444 - vila mariana 40360 - sao paulo, sp ag. numero: 7050-5"
228,"POLICIA FEDERAL, SP",2852-5,"rua hugo d antola num 95 - lapa 503890 - sao paulo, sp ag. numero: 2852-5"
229,"PRACA DA LIBERDADE, SP",2903-3,"rua vergueiro num 128 - liberdade 15040 - sao paulo, sp ag. numero: 2903-3"
230,PRIVATE SAO PAULO,4868-2,"avenida paulista num 750 - bela vista 1310908 - sao paulo, sp ag. numero: 4868-2"
231,"PRODAM, SP",0577-0,"rua libero badaro num 425 - centro 10090 - sao paulo, sp ag. numero: 0577-0"
232,"REAL PARQUE, SP",3007-4,"avenida morumbi num 6918 - morumbi 56502 - sao paulo, sp ag. numero: 3007-4"
233,"RUA DOS ITALIANOS, SP",3341-3,"rua da graca num 121/127 - bom retiro 11251 - sao paulo, sp ag. numero: 3341-3"
234,"RUA HENRIQUE SCHAUMANN, SP",2911-4,"rua henrique schaumann num 566 - pinheiros 541310 - sao paulo, sp ag. numero: 2911-4"
235,"SHOPPING PENHA, SP",3188-7,"avenida doutor joao ribeiro num 304 - penha de franca 36340 - sao paulo, sp ag. numero: 3188-7"
236,"SPTRANS, SP",0687-4,"rua santa rita num 590 - pari 302630 - sao paulo, sp ag. numero: 0687-4"
237,"TRF 3A REGIAO SAO PAULO, SP",1181-9,"avenida av paulista num 1842 - bela vista 1310936 - sao paulo, sp ag. numero: 1181-9"
238,"TRIBUNAL DE CONTAS DO MUNICIPIO, SP",0720-0,"avenida professor ascendino reis num 1130 - vila clementino 40270 - sao paulo, sp ag. numero: 0720-0"
239,"TRT 2A REGIAO, SP",2856-8,"rua da consolacao num 1272 - consolacao 1302906 - sao paulo, sp ag. numero: 2856-8"
240,"VILA ESPANHOLA, SP",0230-5,"avenida deputado emilio carlos num 2088 - vila santa maria 2721200 - sao paulo, sp ag. numero: 0230-5"
241,"VILA FRIBURGO, SP",1967-4,"avenida do rio bonito num 2005 - socorro 47763 - sao paulo, sp ag. numero: 1967-4"
242,"VILA JOANIZA, SP",4557-8,"avenida cupece num 3255 - cidade ademar 43651 - sao paulo, sp ag. numero: 4557-8"
243,"VILA REGENTE FEIJO, SP",3325-1,"avenida sapopemba num 3975 - vila regente feijo 33451 - sao paulo, sp ag. numero: 3325-1"
244,AG EMPRESARIAL SOROCABA,4287-0,"avenida antonio carlos comitre num 86 - parque campolim 18047620 - sorocaba, sp ag. numero: 4287-0"
245,"DIGITAL SOROCABA, SP",4175-0,"avenida antonio carlos comitre num 86 - parque campolim 18047620 - sorocaba, sp ag. numero: 4175-0"
246,"ESPLANADA CAMPOLIM, SP",2088-5,"avenida antonio carlos comitre num 1561 - agua vermelha 18047620 - sorocaba, sp ag. numero: 2088-5"
247,"JUSTICA DO TRABALHO SOROCABA, SP",2767-7,"rua ministro coqueijo costa num 61 - boa vista 18013550 - sorocaba, sp ag. numero: 2767-7"
248,"JUSTICA FEDERAL SOROCABA, SP",3968-3,"avenida antonio carlos comitre num 295 - parque campolim 18047620 - sorocaba, sp ag. numero: 3968-3"
249,"PLATAFORMA EMPRESAS SOROCABA, SP",7444-6,"avenida antonio carlos comitre num 86 - parque campolim 18047620 - sorocaba, sp ag. numero: 7444-6"
250,"SAAE SOROCABA, SP",2849-5,"avenida comendador camillo julio num 255 - jardim ibiti do paco 180860 - sorocaba, sp ag. numero: 2849-5"
251,"DEZESSEIS DE DEZEMBRO, SP",2356-6,"rua antonio pereira de camargo num 349 - centro 1317030 - sumare, sp ag. numero: 2356-6"
252,"JUSTICA DO TRABALHO TAUBATE, SP",4106-8,"avenida brigadeiro jose vicente de faria lima num 896 - jardim maria augusta 120700 - taubate, sp ag. numero: 4106-8"
253,"CIDADE DE VALPARAISO, SP",4231-5,"rua 15 de novembro num 150 - centro 168800 - valparaiso, sp ag. numero: 4231-5"
